?intervention	?interventionLabel
<http://www.wikidata.org/entity/Q170304>	"dopamine"@en
<http://www.wikidata.org/entity/Q105522>	"uric acid"@en
<http://www.wikidata.org/entity/Q60894>	"health education"@en
<http://www.wikidata.org/entity/Q83187>	"thiamine(1+) ion"@en
<http://www.wikidata.org/entity/Q61387>	"nortriptyline"@en
<http://www.wikidata.org/entity/Q68566>	"mosapride"@en
<http://www.wikidata.org/entity/Q68484>	"prucalopride"@en
<http://www.wikidata.org/entity/Q68414>	"renzapride"@en
<http://www.wikidata.org/entity/Q170591>	"hydrogen sulfide"@en
<http://www.wikidata.org/entity/Q170617>	"glucagon"@en
<http://www.wikidata.org/entity/Q128381>	"harmine"@en
<http://www.wikidata.org/entity/Q130336>	"phenol"@en
<http://www.wikidata.org/entity/Q165399>	"azithromycin"@en
<http://www.wikidata.org/entity/Q169569>	"metronidazole"@en
<http://www.wikidata.org/entity/Q166476>	"darifenacin"@en
<http://www.wikidata.org/entity/Q166825>	"ibandronic acid"@en
<http://www.wikidata.org/entity/Q165930>	"tyramine"@en
<http://www.wikidata.org/entity/Q145052>	"zaleplon"@en
<http://www.wikidata.org/entity/Q144085>	"pimozide"@en
<http://www.wikidata.org/entity/Q180983>	"cytarabine"@en
<http://www.wikidata.org/entity/Q169960>	"oxytocin"@en
<http://www.wikidata.org/entity/Q73972>	"hydroxocobalamin"@en
<http://www.wikidata.org/entity/Q80250>	"cyclopropane"@en
<http://www.wikidata.org/entity/Q80863>	"adenosine triphosphate"@en
<http://www.wikidata.org/entity/Q80868>	"tolonium chloride"@en
<http://www.wikidata.org/entity/Q81166>	"mustard gas"@en
<http://www.wikidata.org/entity/Q159683>	"citric acid"@en
<http://www.wikidata.org/entity/Q183554>	"fosfomycin"@en
<http://www.wikidata.org/entity/Q180912>	"melatonin"@en
<http://www.wikidata.org/entity/Q185331>	"rocuronium"@en
<http://www.wikidata.org/entity/Q81890>	"bismuth subsalicylate"@en
<http://www.wikidata.org/entity/Q93978>	"antispasmodic"@en
<http://www.wikidata.org/entity/Q104219>	"bilirubin"@en
<http://www.wikidata.org/entity/Q185916>	"fludarabine phosphate"@en
<http://www.wikidata.org/entity/Q146075>	"zanamivir"@en
<http://www.wikidata.org/entity/Q185690>	"corticotropin"@en
<http://www.wikidata.org/entity/Q134808>	"vaccine"@en
<http://www.wikidata.org/entity/Q155683>	"calcipotriene"@en
<http://www.wikidata.org/entity/Q151313>	"ethylene"@en
<http://www.wikidata.org/entity/Q107184>	"cupric sulfate"@en
<http://www.wikidata.org/entity/Q155685>	"dihydrotachysterol"@en
<http://www.wikidata.org/entity/Q155890>	"heavy water"@en
<http://www.wikidata.org/entity/Q139160>	"dienogest"@en
<http://www.wikidata.org/entity/Q155883>	"alfacalcidol"@en
<http://www.wikidata.org/entity/Q155753>	"γ-tocopherol"@en
<http://www.wikidata.org/entity/Q186242>	"norepinephrine"@en
<http://www.wikidata.org/entity/Q186969>	"ibuprofen"@en
<http://www.wikidata.org/entity/Q174723>	"codeine"@en
<http://www.wikidata.org/entity/Q171877>	"hydrogen peroxide"@en
<http://www.wikidata.org/entity/Q161210>	"formaldehyde"@en
<http://www.wikidata.org/entity/Q162564>	"ultrasound"@en
<http://www.wikidata.org/entity/Q173235>	"analgesic"@en
<http://www.wikidata.org/entity/Q162657>	"neurotransmitter"@en
<http://www.wikidata.org/entity/Q162867>	"nitroglycerin"@en
<http://www.wikidata.org/entity/Q176301>	"oxcarbazepine"@en
<http://www.wikidata.org/entity/Q176533>	"alfentanil"@en
<http://www.wikidata.org/entity/Q179661>	"treatment"@en
<http://www.wikidata.org/entity/Q179748>	"isosorbide dinitrate"@en
<http://www.wikidata.org/entity/Q173670>	"L-Arginine"@en
<http://www.wikidata.org/entity/Q174259>	"droperidol"@en
<http://www.wikidata.org/entity/Q163901>	"cefixime"@en
<http://www.wikidata.org/entity/Q179894>	"pantothenic acid"@en
<http://www.wikidata.org/entity/Q180507>	"radiation therapy"@en
<http://www.wikidata.org/entity/Q180623>	"acetylcholine"@en
<http://www.wikidata.org/entity/Q179996>	"(RS)-methadone"@en
<http://www.wikidata.org/entity/Q192423>	"niacinamide"@en
<http://www.wikidata.org/entity/Q186093>	"(E)-phytonadione"@en
<http://www.wikidata.org/entity/Q188269>	"interferon"@en
<http://www.wikidata.org/entity/Q186127>	"dactinomycin"@en
<http://www.wikidata.org/entity/Q188724>	"non-steroidal anti-inflammatory drug"@en
<http://www.wikidata.org/entity/Q191924>	"D-methamphetamine"@en
<http://www.wikidata.org/entity/Q189522>	"quinine"@en
<http://www.wikidata.org/entity/Q190012>	"adenosine"@en
<http://www.wikidata.org/entity/Q192354>	"menatetrenone"@en
<http://www.wikidata.org/entity/Q194974>	"letrozole"@en
<http://www.wikidata.org/entity/Q198473>	"ziconotide"@en
<http://www.wikidata.org/entity/Q198504>	"zidovudine"@en
<http://www.wikidata.org/entity/Q193045>	"tetracycline"@en
<http://www.wikidata.org/entity/Q211509>	"oseltamivir"@en
<http://www.wikidata.org/entity/Q193572>	"salicylic acid"@en
<http://www.wikidata.org/entity/Q193598>	"DL-ascorbic acid"@en
<http://www.wikidata.org/entity/Q211737>	"sodium sulfate"@en
<http://www.wikidata.org/entity/Q212171>	"rizatriptan"@en
<http://www.wikidata.org/entity/Q212272>	"hydroxyurea"@en
<http://www.wikidata.org/entity/Q213511>	"erythromycin"@en
<http://www.wikidata.org/entity/Q193166>	"choline"@en
<http://www.wikidata.org/entity/Q216935>	"lidocaine"@en
<http://www.wikidata.org/entity/Q202218>	"ethyl ether"@en
<http://www.wikidata.org/entity/Q202998>	"zileuton"@en
<http://www.wikidata.org/entity/Q193978>	"cinacalcet"@en
<http://www.wikidata.org/entity/Q203174>	"thalidomide"@en
<http://www.wikidata.org/entity/Q201928>	"amoxicillin"@en
<http://www.wikidata.org/entity/Q192464>	"levoleucovorin"@en
<http://www.wikidata.org/entity/Q190016>	"heparin"@en
<http://www.wikidata.org/entity/Q190077>	"zinc oxide"@en
<http://www.wikidata.org/entity/Q221174>	"topiramate"@en
<http://www.wikidata.org/entity/Q221361>	"clozapine"@en
<http://www.wikidata.org/entity/Q191700>	"benzoic acid"@en
<http://www.wikidata.org/entity/Q191907>	"carotenoid"@en
<http://www.wikidata.org/entity/Q193213>	"butyric acid"@en
<http://www.wikidata.org/entity/Q229924>	"4-aminosalicylic acid"@en
<http://www.wikidata.org/entity/Q193521>	"titanium dioxide"@en
<http://www.wikidata.org/entity/Q198728>	"ponatinib"@en
<http://www.wikidata.org/entity/Q201872>	"olanzapine"@en
<http://www.wikidata.org/entity/Q204954>	"zinc sulfate"@en
<http://www.wikidata.org/entity/Q205130>	"vitamin B6"@en
<http://www.wikidata.org/entity/Q238512>	"fluorouracil"@en
<http://www.wikidata.org/entity/Q192717>	"streptomycin"@en
<http://www.wikidata.org/entity/Q205517>	"ziprasidone"@en
<http://www.wikidata.org/entity/Q223020>	"tenamfetamine"@en
<http://www.wikidata.org/entity/Q221520>	"triamterene"@en
<http://www.wikidata.org/entity/Q221637>	"ambroxol"@en
<http://www.wikidata.org/entity/Q221391>	"locust bean gum"@en
<http://www.wikidata.org/entity/Q223412>	"(RS)-clenbuterol"@en
<http://www.wikidata.org/entity/Q226905>	"zotepine"@en
<http://www.wikidata.org/entity/Q210402>	"diazepam"@en
<http://www.wikidata.org/entity/Q210420>	"corticosteroid"@en
<http://www.wikidata.org/entity/Q211036>	"stimulant"@en
<http://www.wikidata.org/entity/Q206844>	"theobromine"@en
<http://www.wikidata.org/entity/Q207442>	"silver nitrate"@en
<http://www.wikidata.org/entity/Q207843>	"nitric oxide"@en
<http://www.wikidata.org/entity/Q204036>	"(E)-cinnamaldehyde"@en
<http://www.wikidata.org/entity/Q204594>	"zinc protoporphyrin"@en
<http://www.wikidata.org/entity/Q204602>	"pyrithione zinc"@en
<http://www.wikidata.org/entity/Q218284>	"zofenopril"@en
<http://www.wikidata.org/entity/Q218507>	"zoledronic acid"@en
<http://www.wikidata.org/entity/Q210021>	"γ-aminobutyric acid"@en
<http://www.wikidata.org/entity/Q209313>	"2-aminopurine"@en
<http://www.wikidata.org/entity/Q219067>	"physical exercise"@en
<http://www.wikidata.org/entity/Q263713>	"nevirapine"@en
<http://www.wikidata.org/entity/Q238474>	"aminolevulinic acid"@en
<http://www.wikidata.org/entity/Q238490>	"5-fluorocytosine"@en
<http://www.wikidata.org/entity/Q214769>	"magnesium oxide"@en
<http://www.wikidata.org/entity/Q219626>	"(−)-ephedrine"@en
<http://www.wikidata.org/entity/Q215118>	"anticoagulant"@en
<http://www.wikidata.org/entity/Q240642>	"valproic acid"@en
<http://www.wikidata.org/entity/Q241150>	"(RS)-aminoglutethimide"@en
<http://www.wikidata.org/entity/Q241374>	"ursodiol"@en
<http://www.wikidata.org/entity/Q244150>	"ampicillin"@en
<http://www.wikidata.org/entity/Q219957>	"zonisamide"@en
<http://www.wikidata.org/entity/Q269111>	"apomorphine"@en
<http://www.wikidata.org/entity/Q239426>	"mitoxantrone"@en
<http://www.wikidata.org/entity/Q269829>	"placebo"@en
<http://www.wikidata.org/entity/Q239569>	"amodiaquine"@en
<http://www.wikidata.org/entity/Q244408>	"diclofenac"@en
<http://www.wikidata.org/entity/Q239778>	"bromhexine"@en
<http://www.wikidata.org/entity/Q271980>	"bisphenol A"@en
<http://www.wikidata.org/entity/Q273169>	"capsaicin"@en
<http://www.wikidata.org/entity/Q279504>	"(S)-ropivacaine"@en
<http://www.wikidata.org/entity/Q218820>	"zolmitriptan"@en
<http://www.wikidata.org/entity/Q274515>	"chloramphenicol"@en
<http://www.wikidata.org/entity/Q275926>	"bumetanide"@en
<http://www.wikidata.org/entity/Q282629>	"Vinblastine"@en
<http://www.wikidata.org/entity/Q241516>	"povidone-iodine"@en
<http://www.wikidata.org/entity/Q218842>	"zolpidem"@en
<http://www.wikidata.org/entity/Q208118>	"psilocybin"@en
<http://www.wikidata.org/entity/Q321285>	"ubidecarenone"@en
<http://www.wikidata.org/entity/Q208130>	"lycopene"@en
<http://www.wikidata.org/entity/Q288266>	"magnesium sulfate"@en
<http://www.wikidata.org/entity/Q277979>	"nalbuphine"@en
<http://www.wikidata.org/entity/Q209120>	"TEMPO"@en
<http://www.wikidata.org/entity/Q209463>	"phenylethyl alcohol"@en
<http://www.wikidata.org/entity/Q209727>	"palmitic acid"@en
<http://www.wikidata.org/entity/Q324147>	"terlipressin"@en
<http://www.wikidata.org/entity/Q220426>	"zopiclone"@en
<http://www.wikidata.org/entity/Q374826>	"solifenacin succinate"@en
<http://www.wikidata.org/entity/Q375613>	"acetylcysteine"@en
<http://www.wikidata.org/entity/Q263958>	"(+)-pseudoephedrine"@en
<http://www.wikidata.org/entity/Q263962>	"transcranial magnetic stimulation"@en
<http://www.wikidata.org/entity/Q266321>	"mitiglinide"@en
<http://www.wikidata.org/entity/Q267669>	"Cisatracurium besylate"@en
<http://www.wikidata.org/entity/Q267896>	"phenprocoumon"@en
<http://www.wikidata.org/entity/Q288280>	"ACE inhibitor"@en
<http://www.wikidata.org/entity/Q367700>	"cyclosporine"@en
<http://www.wikidata.org/entity/Q245280>	"D-sorbitol"@en
<http://www.wikidata.org/entity/Q248466>	"natamycin"@en
<http://www.wikidata.org/entity/Q248550>	"leflunomide"@en
<http://www.wikidata.org/entity/Q258591>	"cilostazol"@en
<http://www.wikidata.org/entity/Q368995>	"betahistine"@en
<http://www.wikidata.org/entity/Q249619>	"immunosuppressive drug"@en
<http://www.wikidata.org/entity/Q251347>	"haloperidol"@en
<http://www.wikidata.org/entity/Q259930>	"fusidic acid"@en
<http://www.wikidata.org/entity/Q369648>	"tolperisone"@en
<http://www.wikidata.org/entity/Q260286>	"iniparib"@en
<http://www.wikidata.org/entity/Q261167>	"ibudilast"@en
<http://www.wikidata.org/entity/Q263284>	"olaflur"@en
<http://www.wikidata.org/entity/Q251005>	"Nystatin"@en
<http://www.wikidata.org/entity/Q251698>	"amifostine"@en
<http://www.wikidata.org/entity/Q348260>	"adalimumab"@en
<http://www.wikidata.org/entity/Q254296>	"lansoprazole"@en
<http://www.wikidata.org/entity/Q304330>	"abacavir"@en
<http://www.wikidata.org/entity/Q255680>	"mazindol"@en
<http://www.wikidata.org/entity/Q255968>	"aminocaproic acid"@en
<http://www.wikidata.org/entity/Q256602>	"ciprofloxacin"@en
<http://www.wikidata.org/entity/Q280786>	"terazosin"@en
<http://www.wikidata.org/entity/Q282902>	"naloxone"@en
<http://www.wikidata.org/entity/Q258450>	"penicillin G"@en
<http://www.wikidata.org/entity/Q385347>	"6-thioguanine"@en
<http://www.wikidata.org/entity/Q385858>	"Ajmaline"@en
<http://www.wikidata.org/entity/Q386119>	"Natalizumab"@en
<http://www.wikidata.org/entity/Q286846>	"pantoprazole"@en
<http://www.wikidata.org/entity/Q287029>	"isotretinoin"@en
<http://www.wikidata.org/entity/Q285044>	"angiotensin II receptor antagonist"@en
<http://www.wikidata.org/entity/Q407721>	"buprenorphine"@en
<http://www.wikidata.org/entity/Q338005>	"acarbose"@en
<http://www.wikidata.org/entity/Q386441>	"(RS)-meclizine"@en
<http://www.wikidata.org/entity/Q389496>	"Obinutuzumab"@en
<http://www.wikidata.org/entity/Q339866>	"sodium thiosulfate"@en
<http://www.wikidata.org/entity/Q407646>	"D-(-)-mannitol"@en
<http://www.wikidata.org/entity/Q325101>	"enkephalin"@en
<http://www.wikidata.org/entity/Q328692>	"imidazole"@en
<http://www.wikidata.org/entity/Q326224>	"(S)-(−)-colchicine"@en
<http://www.wikidata.org/entity/Q335099>	"edaravone"@en
<http://www.wikidata.org/entity/Q393339>	"epigallocatechin gallate"@en
<http://www.wikidata.org/entity/Q337188>	"L-scopolamine"@en
<http://www.wikidata.org/entity/Q238544>	"oxitriptan"@en
<http://www.wikidata.org/entity/Q238521>	"5-HT3 antagonist"@en
<http://www.wikidata.org/entity/Q402607>	"tyrosol"@en
<http://www.wikidata.org/entity/Q402625>	"oleuropein"@en
<http://www.wikidata.org/entity/Q284321>	"mefenamic acid"@en
<http://www.wikidata.org/entity/Q407125>	"aluminum hydroxide"@en
<http://www.wikidata.org/entity/Q370015>	"Hylands Park"@en
<http://www.wikidata.org/entity/Q372539>	"dalfampridine"@en
<http://www.wikidata.org/entity/Q372725>	"thiethylperazine"@en
<http://www.wikidata.org/entity/Q407172>	"chorionic gonadotropin"@en
<http://www.wikidata.org/entity/Q407669>	"methyl salicylate"@en
<http://www.wikidata.org/entity/Q407204>	"sodium hypochlorite"@en
<http://www.wikidata.org/entity/Q341045>	"mindfulness"@en
<http://www.wikidata.org/entity/Q341500>	"acitretin"@en
<http://www.wikidata.org/entity/Q300989>	"levodopa"@en
<http://www.wikidata.org/entity/Q407329>	"resveratrol"@en
<http://www.wikidata.org/entity/Q312266>	"curcumin"@en
<http://www.wikidata.org/entity/Q407535>	"oxycodone"@en
<http://www.wikidata.org/entity/Q347613>	"valdecoxib"@en
<http://www.wikidata.org/entity/Q347337>	"balsalazide"@en
<http://www.wikidata.org/entity/Q342108>	"aconitine"@en
<http://www.wikidata.org/entity/Q347941>	"parecoxib"@en
<http://www.wikidata.org/entity/Q315860>	"Calcitonin"@en
<http://www.wikidata.org/entity/Q319877>	"alprazolam"@en
<http://www.wikidata.org/entity/Q303646>	"hydromorphone"@en
<http://www.wikidata.org/entity/Q376061>	"flavin mononucleotide"@en
<http://www.wikidata.org/entity/Q377036>	"polidocanol"@en
<http://www.wikidata.org/entity/Q377342>	"propylthiouracil"@en
<http://www.wikidata.org/entity/Q377458>	"COX-2 inhibitor"@en
<http://www.wikidata.org/entity/Q379842>	"tetrodotoxin"@en
<http://www.wikidata.org/entity/Q379123>	"Chlorophyllin"@en
<http://www.wikidata.org/entity/Q348922>	"busulfan"@en
<http://www.wikidata.org/entity/Q349427>	"Bombesin"@en
<http://www.wikidata.org/entity/Q384295>	"gemfibrozil"@en
<http://www.wikidata.org/entity/Q385140>	"anthranilic acid"@en
<http://www.wikidata.org/entity/Q352348>	"adapalene"@en
<http://www.wikidata.org/entity/Q407541>	"fentanyl"@en
<http://www.wikidata.org/entity/Q353551>	"adefovir"@en
<http://www.wikidata.org/entity/Q337668>	"acamprosate"@en
<http://www.wikidata.org/entity/Q407781>	"dextromethorphan"@en
<http://www.wikidata.org/entity/Q290001>	"gliclazide"@en
<http://www.wikidata.org/entity/Q407841>	"reserpine"@en
<http://www.wikidata.org/entity/Q407857>	"rutin"@en
<http://www.wikidata.org/entity/Q407883>	"Ketoconazole"@en
<http://www.wikidata.org/entity/Q305555>	"abarelix"@en
<http://www.wikidata.org/entity/Q306135>	"β-carotene"@en
<http://www.wikidata.org/entity/Q310286>	"beta-lactamase inhibitors"@en
<http://www.wikidata.org/entity/Q309438>	"anabolic steroid"@en
<http://www.wikidata.org/entity/Q407927>	"dimethyl sulfoxide"@en
<http://www.wikidata.org/entity/Q312229>	"(RS)-thioctic acid"@en
<http://www.wikidata.org/entity/Q311992>	"acetylcarnitine"@en
<http://www.wikidata.org/entity/Q407936>	"trichloroethylene"@en
<http://www.wikidata.org/entity/Q407972>	"chlorpromazine"@en
<http://www.wikidata.org/entity/Q408524>	"(RS)-cyclophosphamide"@en
<http://www.wikidata.org/entity/Q408376>	"dehydroepiandrosterone"@en
<http://www.wikidata.org/entity/Q407592>	"(R,R) tramadol"@en
<http://www.wikidata.org/entity/Q408471>	"paroxetine"@en
<http://www.wikidata.org/entity/Q304088>	"acenocoumarol"@en
<http://www.wikidata.org/entity/Q408510>	"chitosan"@en
<http://www.wikidata.org/entity/Q407617>	"sertraline"@en
<http://www.wikidata.org/entity/Q407418>	"L-menthol"@en
<http://www.wikidata.org/entity/Q407520>	"sodium fluoride"@en
<http://www.wikidata.org/entity/Q407997>	"inositol"@en
<http://www.wikidata.org/entity/Q407217>	"dimethyltryptamine"@en
<http://www.wikidata.org/entity/Q407241>	"phenobarbital"@en
<http://www.wikidata.org/entity/Q407308>	"theophylline"@en
<http://www.wikidata.org/entity/Q408032>	"edetic acid"@en
<http://www.wikidata.org/entity/Q407548>	"magnesium hydroxide"@en
<http://www.wikidata.org/entity/Q408163>	"anagrelide"@en
<http://www.wikidata.org/entity/Q408283>	"denosumab"@en
<http://www.wikidata.org/entity/Q408289>	"gestodene"@en
<http://www.wikidata.org/entity/Q407988>	"clonazepam"@en
<http://www.wikidata.org/entity/Q409267>	"diethylcarbamazine"@en
<http://www.wikidata.org/entity/Q409292>	"piperazine"@en
<http://www.wikidata.org/entity/Q408099>	"brivaracetam"@en
<http://www.wikidata.org/entity/Q409366>	"lupeol"@en
<http://www.wikidata.org/entity/Q409357>	"iminodiacetic acid"@en
<http://www.wikidata.org/entity/Q409373>	"glycolic acid"@en
<http://www.wikidata.org/entity/Q408155>	"catumaxomab"@en
<http://www.wikidata.org/entity/Q408132>	"Molsidomine"@en
<http://www.wikidata.org/entity/Q409478>	"quercetin"@en
<http://www.wikidata.org/entity/Q409492>	"cimetidine"@en
<http://www.wikidata.org/entity/Q409583>	"pimagedine"@en
<http://www.wikidata.org/entity/Q409587>	"naltrexone"@en
<http://www.wikidata.org/entity/Q409665>	"disulfiram"@en
<http://www.wikidata.org/entity/Q409231>	"indomethacin"@en
<http://www.wikidata.org/entity/Q408529>	"amikacin"@en
<http://www.wikidata.org/entity/Q408556>	"levobunolol"@en
<http://www.wikidata.org/entity/Q408566>	"neurokinin A"@en
<http://www.wikidata.org/entity/Q408565>	"rufinamide"@en
<http://www.wikidata.org/entity/Q408570>	"methoxsalen"@en
<http://www.wikidata.org/entity/Q408637>	"dronedarone"@en
<http://www.wikidata.org/entity/Q409804>	"allantoin"@en
<http://www.wikidata.org/entity/Q409981>	"metaraminol"@en
<http://www.wikidata.org/entity/Q410011>	"ondansetron"@en
<http://www.wikidata.org/entity/Q409236>	"fluvoxamine"@en
<http://www.wikidata.org/entity/Q408724>	"risedronic acid"@en
<http://www.wikidata.org/entity/Q408732>	"daidzein"@en
<http://www.wikidata.org/entity/Q409672>	"(RS)-citalopram"@en
<http://www.wikidata.org/entity/Q408801>	"celecoxib"@en
<http://www.wikidata.org/entity/Q408977>	"vincristine"@en
<http://www.wikidata.org/entity/Q409251>	"calcium acetate"@en
<http://www.wikidata.org/entity/Q409262>	"methicillin"@en
<http://www.wikidata.org/entity/Q410074>	"losartan"@en
<http://www.wikidata.org/entity/Q409728>	"trisodium citrate"@en
<http://www.wikidata.org/entity/Q409729>	"almotriptan"@en
<http://www.wikidata.org/entity/Q409761>	"amantadine"@en
<http://www.wikidata.org/entity/Q408641>	"L-citrulline"@en
<http://www.wikidata.org/entity/Q408646>	"triclosan"@en
<http://www.wikidata.org/entity/Q408676>	"piroxicam"@en
<http://www.wikidata.org/entity/Q411188>	"aripiprazole"@en
<http://www.wikidata.org/entity/Q410352>	"gabapentin"@en
<http://www.wikidata.org/entity/Q410374>	"papaverine"@en
<http://www.wikidata.org/entity/Q409765>	"idoxuridine"@en
<http://www.wikidata.org/entity/Q410400>	"phenytoin"@en
<http://www.wikidata.org/entity/Q410412>	"carbamazepin"@en
<http://www.wikidata.org/entity/Q410513>	"megestrol"@en
<http://www.wikidata.org/entity/Q410534>	"miconazole"@en
<http://www.wikidata.org/entity/Q410346>	"lamotrigine"@en
<http://www.wikidata.org/entity/Q410546>	"neostigmine"@en
<http://www.wikidata.org/entity/Q408883>	"thymol"@en
<http://www.wikidata.org/entity/Q409712>	"ceftaroline fosamil"@en
<http://www.wikidata.org/entity/Q410588>	"oxypurinol"@en
<http://www.wikidata.org/entity/Q410595>	"physostigmine"@en
<http://www.wikidata.org/entity/Q410656>	"Ofatumumab"@en
<http://www.wikidata.org/entity/Q410441>	"modafinil"@en
<http://www.wikidata.org/entity/Q411240>	"mifepristone"@en
<http://www.wikidata.org/entity/Q411330>	"Varenicline"@en
<http://www.wikidata.org/entity/Q410069>	"piracetam"@en
<http://www.wikidata.org/entity/Q410061>	"amiodarone"@en
<http://www.wikidata.org/entity/Q410078>	"nitrazepam"@en
<http://www.wikidata.org/entity/Q410083>	"polyethylene glycol"@en
<http://www.wikidata.org/entity/Q410174>	"lithium carbonate"@en
<http://www.wikidata.org/entity/Q411377>	"linezolid"@en
<http://www.wikidata.org/entity/Q409595>	"isocarboxazid"@en
<http://www.wikidata.org/entity/Q410663>	"fluoxymesterone"@en
<http://www.wikidata.org/entity/Q409632>	"pentobarbital"@en
<http://www.wikidata.org/entity/Q410492>	"lercanidipine"@en
<http://www.wikidata.org/entity/Q412127>	"gallopamil"@en
<http://www.wikidata.org/entity/Q412050>	"epoprostenol"@en
<http://www.wikidata.org/entity/Q412102>	"tramazoline"@en
<http://www.wikidata.org/entity/Q412133>	"dexmedetomidine"@en
<http://www.wikidata.org/entity/Q409641>	"allicin"@en
<http://www.wikidata.org/entity/Q410789>	"ambrisentan"@en
<http://www.wikidata.org/entity/Q411629>	"albendazo"@en
<http://www.wikidata.org/entity/Q411635>	"permethrin"@en
<http://www.wikidata.org/entity/Q411517>	"brinzolamide"@en
<http://www.wikidata.org/entity/Q411552>	"doripenem"@en
<http://www.wikidata.org/entity/Q411648>	"tacrolimus"@en
<http://www.wikidata.org/entity/Q411557>	"sulfadoxine"@en
<http://www.wikidata.org/entity/Q411229>	"itraconazole"@en
<http://www.wikidata.org/entity/Q411441>	"hydrocodone"@en
<http://www.wikidata.org/entity/Q410291>	"verapamil"@en
<http://www.wikidata.org/entity/Q410965>	"insulin detemir"@en
